SystemID;SystemIteration;AlgorithmID;VersionID1;VersionID2;timeInitRegular;timeCoreRegular;timeCleanRegular;timeFirstAddRegular;timeFirstStrongBfsRegular;timeWeakBfsRegular;timeSecondAddRegular;timeSecondStrongBfsRegular;timeFinishRegular;timeInitIncremental;timeCoreIncremental;timeCleanIncremental;timeFirstAddIncremental;timeFirstStrongBfsIncremental;timeWeakBfsIncremental;timeSecondAddIncremental;timeSecondStrongBfsIncremental;timeFinishIncremental;VariablesAdded;VariablesRemoved;VariablesShared;ClausesAdded;ClausesRemoved;ClausesShared;RedundantRegular;StrongRegular;WeakRegular;RedundantIncremental;StrongIncremental;WeakIncremental
1;3;2;27;28;20394;2243921;417167;0;0;0;188852;152514;90985;883368;2371183;444230;0;0;0;190125;161062;100515;6;0;1245;3;0;596;0;1508;1120;0;1508;1120
1;3;2;28;29;29097;2010501;253361;0;0;0;118523;105527;99849;912676;1962059;275940;0;0;0;97577;91121;91098;8;0;1251;3;0;599;0;1516;1126;0;1516;1126
1;3;2;29;30;21231;2171450;238131;0;0;0;106025;94596;90045;1434772;2331119;255179;0;0;0;98176;133533;93234;16;0;1259;6;0;602;0;1530;1144;0;1530;1144
1;3;2;30;31;21827;2094461;239744;0;0;0;108937;95622;92518;890159;1966595;242686;0;0;0;94921;98394;91001;27;27;1248;4;4;604;0;1530;1144;0;1530;1144
1;3;2;31;32;21317;2577614;248084;0;0;0;118664;132521;91422;933226;2254499;243343;0;0;0;115313;104760;94262;32;9;1266;15;4;604;0;1570;1158;0;1570;1158
1;3;2;32;33;20402;2243154;226596;0;0;0;110747;107531;92886;1010490;2346314;257660;0;0;0;102160;86162;132528;5;0;1298;3;0;619;0;1570;1170;0;1570;1170
1;3;2;33;34;21455;2066218;232410;0;0;0;108244;95764;122569;933053;2457953;250277;0;0;0;100852;93190;95871;29;13;1290;7;1;621;0;1614;1188;0;1614;1188
1;3;2;34;35;26825;2653831;235564;0;0;0;109828;100341;93949;952989;3098556;265187;0;0;0;104917;97840;96208;6;13;1306;3;0;628;0;1626;1048;0;1626;1048
1;3;3;1;2;15607;1721299;162406;0;0;0;7441436;138211;93593;590744;1897268;181956;0;0;0;1319726;70792;61546;34;2;900;16;1;438;33;1066;374;33;1066;374
1;3;3;1;3;19046;1759333;178504;0;0;0;6731966;101157;63556;694327;1539731;173623;0;0;0;517943;73853;61891;11;0;934;5;0;454;33;1076;374;33;1076;374
1;3;3;1;4;17009;2085654;192544;0;0;0;7221160;112283;66693;700490;1877637;182260;0;0;0;1035840;76741;90619;29;4;941;11;1;458;33;1128;386;33;1128;386
1;3;3;1;5;17396;1824938;234512;0;0;0;8337533;98830;68340;681256;2038228;201047;0;0;0;1104913;71777;64963;8;1;969;3;0;469;33;1152;386;33;1152;386
1;3;3;1;6;16822;2082696;332193;0;0;0;7648182;86758;66333;673506;1885563;223860;0;0;0;1588224;73235;65032;11;2;975;4;1;471;34;1172;386;33;1172;392
1;3;3;1;7;19181;1637765;178393;0;0;0;7353126;100235;73514;691751;3320252;204381;0;0;0;1148598;81452;69768;21;10;976;8;1;474;35;1200;384;33;1200;396
1;3;3;1;8;41938;1893846;190724;0;0;0;7970049;116699;75025;693433;1999147;347802;0;0;0;919940;83980;68906;11;0;997;5;0;482;35;1224;384;33;1224;396
1;3;3;1;9;18725;1725395;191693;0;0;0;8725501;83516;70417;1068631;2125342;236435;0;0;0;1223342;88727;70350;12;2;1006;7;1;486;35;1232;384;33;1232;396
1;3;3;1;10;27220;1777468;212401;0;0;0;8632422;105955;76044;814608;2148903;216832;0;0;0;1180494;87280;75120;113;3;1015;55;2;491;37;1352;402;33;1352;426
1;3;3;1;11;18587;2093730;222046;0;0;0;9306044;126842;71459;792423;1932513;202950;0;0;0;1180383;74204;65653;12;43;1085;4;15;531;37;1204;432;33;1204;456
1;3;3;1;12;18641;1825017;194554;0;0;0;9587801;113318;74264;738138;1862867;208199;0;0;0;1148466;75530;68595;8;2;1095;3;1;534;37;1218;446;33;1218;470
1;3;3;1;13;18449;2111776;232803;0;0;0;9830120;126806;72636;762224;2676151;279517;0;0;0;1265486;91495;75572;38;12;1091;8;2;535;46;1280;468;30;1280;564
1;3;3;1;14;19926;1810478;202525;0;0;0;9705849;103490;72821;716733;1896120;234221;0;0;0;581533;82007;71186;14;0;1129;7;0;543;46;1304;468;30;1304;564
1;3;3;1;15;20696;2100313;217378;0;0;0;9671778;112690;82804;1256894;2536949;236061;0;0;0;1238402;96510;87802;32;6;1137;7;0;550;52;1466;488;29;1466;626
1;3;3;1;16;19820;2190869;231437;0;0;0;9478302;120676;83030;760481;2153133;423904;0;0;0;1458980;93849;84492;8;30;1139;5;16;541;52;1412;490;29;1412;628
1;3;3;1;17;19507;2248326;221196;0;0;0;9683858;110850;72648;772803;2317969;197899;0;0;0;1201141;105342;69339;40;55;1092;16;6;540;32;1322;436;28;1322;460
1;3;3;1;18;26710;1733401;214183;0;0;0;9690473;114243;83892;819572;2074268;226186;0;0;0;1387165;115136;76917;16;6;1126;8;3;553;32;1338;436;28;1338;460
1;3;3;1;19;20074;1709525;199047;0;0;0;11424018;111636;87068;864720;2107301;236142;0;0;0;1159882;87485;73763;43;16;1126;18;7;554;35;1358;718;28;1358;760
1;3;3;1;20;20573;2572075;210991;0;0;0;11627322;123823;80302;747236;2342927;223426;0;0;0;1200626;88157;79904;21;2;1167;3;0;572;42;1384;748;28;1384;838
1;3;3;1;21;20412;2060948;220663;0;0;0;12176838;111548;81183;858245;2070241;253087;0;0;0;1252448;118496;82058;5;4;1184;1;2;573;43;1388;754;28;1388;850
1;3;3;1;22;20745;1852800;223685;0;0;0;12363906;192074;112348;875958;1898908;230223;0;0;0;1361497;92644;81971;5;4;1185;3;2;572;43;1384;754;28;1384;850
1;3;3;1;23;28332;2143844;245521;0;0;0;12614296;188324;116093;848470;2156342;362832;0;0;0;1591680;100870;82544;15;5;1185;7;2;573;43;1390;766;28;1390;862
