ModelID;AlgorithmID;SystemIteration;AlgorithmIteration;InTime;NoError;Time;Size
0;2;17;1;true;true;249;2
0;3;17;1;true;true;243;2
0;4;17;1;true;true;243;6
0;5;17;1;true;true;242;6
0;6;17;1;true;true;240;6
0;7;17;1;true;true;246;6
0;0;18;1;true;true;237;2
0;1;18;1;true;true;250;2
0;2;18;1;true;true;248;2
0;3;18;1;true;true;240;2
0;4;18;1;true;true;239;8
0;5;18;1;true;true;252;8
0;6;18;1;true;true;239;8
0;7;18;1;true;true;240;8
0;0;19;1;true;true;241;2
0;1;19;1;true;true;241;2
0;2;19;1;true;true;237;2
0;3;19;1;true;true;254;2
0;4;19;1;true;true;241;6
0;5;19;1;true;true;256;6
0;6;19;1;true;true;245;6
0;7;19;1;true;true;242;6
0;0;20;1;true;true;238;2
0;1;20;1;true;true;243;2
0;2;20;1;true;true;262;2
0;3;20;1;true;true;244;2
0;4;20;1;true;true;239;7
0;5;20;1;true;true;239;7
0;6;20;1;true;true;240;7
0;7;20;1;true;true;247;7
0;0;21;1;true;true;265;2
0;1;21;1;true;true;235;2
0;2;21;1;true;true;256;2
0;3;21;1;true;true;247;2
0;4;21;1;true;true;244;8
0;5;21;1;true;true;253;8
0;6;21;1;true;true;266;8
0;7;21;1;true;true;236;6
0;0;22;1;true;true;238;2
0;1;22;1;true;true;240;2
0;2;22;1;true;true;241;2
0;3;22;1;true;true;269;2
0;4;22;1;true;true;237;6
0;5;22;1;true;true;238;6
0;6;22;1;true;true;244;6
0;7;22;1;true;true;254;6
0;0;23;1;true;true;281;2
0;1;23;1;true;true;286;2
0;2;23;1;true;true;242;2
0;3;23;1;true;true;241;2
0;4;23;1;true;true;250;6
0;5;23;1;true;true;249;6
0;6;23;1;true;true;242;6
0;7;23;1;true;true;249;7
0;0;24;1;true;true;242;2
0;1;24;1;true;true;243;2
0;2;24;1;true;true;251;2
0;3;24;1;true;true;241;2
0;4;24;1;true;true;280;6
0;5;24;1;true;true;264;6
0;6;24;1;true;true;239;6
0;7;24;1;true;true;235;7
0;0;25;1;true;true;244;2
0;1;25;1;true;true;258;2
0;2;25;1;true;true;252;2
0;3;25;1;true;true;255;2
0;4;25;1;true;true;242;7
0;5;25;1;true;true;271;7
0;6;25;1;true;true;244;7
0;7;25;1;true;true;243;6
0;0;26;1;true;true;236;2
0;1;26;1;true;true;239;2
0;2;26;1;true;true;235;2
0;3;26;1;true;true;234;2
0;4;26;1;true;true;233;7
0;5;26;1;true;true;237;7
0;6;26;1;true;true;239;7
0;7;26;1;true;true;238;7
0;0;27;1;true;true;246;2
0;1;27;1;true;true;245;2
0;2;27;1;true;true;259;2
0;3;27;1;true;true;244;2
0;4;27;1;true;true;275;7
0;5;27;1;true;true;238;7
0;6;27;1;true;true;233;7
0;7;27;1;true;true;235;6
0;0;28;1;true;true;250;2
0;1;28;1;true;true;249;2
0;2;28;1;true;true;250;2
0;3;28;1;true;true;249;2
0;4;28;1;true;true;256;7
0;5;28;1;true;true;240;7
0;6;28;1;true;true;241;7
0;7;28;1;true;true;240;6
0;0;29;1;true;true;253;2
0;1;29;1;true;true;243;2
0;2;29;1;true;true;245;2
0;3;29;1;true;true;248;2
0;4;29;1;true;true;240;7
0;5;29;1;true;true;241;7
0;6;29;1;true;true;242;7
0;7;29;1;true;true;238;6
0;0;30;1;true;true;246;2
0;1;30;1;true;true;256;2
0;2;30;1;true;true;242;2
0;3;30;1;true;true;238;2
0;4;30;1;true;true;239;7
0;5;30;1;true;true;238;7
0;6;30;1;true;true;246;7
0;7;30;1;true;true;248;6
0;0;31;1;true;true;244;2
0;1;31;1;true;true;247;2
0;2;31;1;true;true;247;2
0;3;31;1;true;true;247;2
0;4;31;1;true;true;246;7
0;5;31;1;true;true;253;7
0;6;31;1;true;true;259;7
0;7;31;1;true;true;253;7
0;0;32;1;true;true;249;2
0;1;32;1;true;true;241;2
0;2;32;1;true;true;236;2
0;3;32;1;true;true;244;2
0;4;32;1;true;true;240;6
0;5;32;1;true;true;247;6
0;6;32;1;true;true;239;6
0;7;32;1;true;true;241;6
0;0;33;1;true;true;233;2
0;1;33;1;true;true;236;2
0;2;33;1;true;true;238;2
0;3;33;1;true;true;249;2
0;4;33;1;true;true;251;7
0;5;33;1;true;true;239;7
0;6;33;1;true;true;236;7
0;7;33;1;true;true;244;8
0;0;34;1;true;true;242;2
0;1;34;1;true;true;244;2
0;2;34;1;true;true;241;2
0;3;34;1;true;true;242;2
0;4;34;1;true;true;249;7
0;5;34;1;true;true;243;7
0;6;34;1;true;true;239;7
0;7;34;1;true;true;240;6
0;0;35;1;true;true;250;2
0;1;35;1;true;true;250;2
0;2;35;1;true;true;259;2
0;3;35;1;true;true;237;2
0;4;35;1;true;true;239;7
0;5;35;1;true;true;246;7
0;6;35;1;true;true;244;7
0;7;35;1;true;true;242;6
0;0;36;1;true;true;239;2
0;1;36;1;true;true;237;2
