ModelID;AlgorithmID;Name;Settings
39;5;YASA;t2_m1_pc_folder
39;6;YASA;t2_m1_pc_file
39;7;YASA;t2_m1_pc_vars
40;0;YASA;t1_m1_pc_all
40;1;YASA;t1_m1_pc_folder
40;2;YASA;t1_m1_pc_file
40;3;YASA;t1_m1_pc_vars
40;4;YASA;t2_m1_pc_all
40;5;YASA;t2_m1_pc_folder
40;6;YASA;t2_m1_pc_file
40;7;YASA;t2_m1_pc_vars
41;0;YASA;t1_m1_pc_all
41;1;YASA;t1_m1_pc_folder
41;2;YASA;t1_m1_pc_file
41;3;YASA;t1_m1_pc_vars
41;4;YASA;t2_m1_pc_all
41;5;YASA;t2_m1_pc_folder
41;6;YASA;t2_m1_pc_file
41;7;YASA;t2_m1_pc_vars
43;0;YASA;t1_m1_pc_all
43;1;YASA;t1_m1_pc_folder
43;2;YASA;t1_m1_pc_file
43;3;YASA;t1_m1_pc_vars
43;4;YASA;t2_m1_pc_all
43;5;YASA;t2_m1_pc_folder
43;6;YASA;t2_m1_pc_file
43;7;YASA;t2_m1_pc_vars
44;0;YASA;t1_m1_pc_all
44;1;YASA;t1_m1_pc_folder
44;2;YASA;t1_m1_pc_file
44;3;YASA;t1_m1_pc_vars
44;4;YASA;t2_m1_pc_all
44;5;YASA;t2_m1_pc_folder
44;6;YASA;t2_m1_pc_file
44;7;YASA;t2_m1_pc_vars
45;0;YASA;t1_m1_pc_all
45;1;YASA;t1_m1_pc_folder
45;2;YASA;t1_m1_pc_file
45;3;YASA;t1_m1_pc_vars
45;4;YASA;t2_m1_pc_all
45;5;YASA;t2_m1_pc_folder
45;6;YASA;t2_m1_pc_file
45;7;YASA;t2_m1_pc_vars
46;0;YASA;t1_m1_pc_all
46;1;YASA;t1_m1_pc_folder
46;2;YASA;t1_m1_pc_file
46;3;YASA;t1_m1_pc_vars
46;4;YASA;t2_m1_pc_all
46;5;YASA;t2_m1_pc_folder
46;6;YASA;t2_m1_pc_file
46;7;YASA;t2_m1_pc_vars
47;0;YASA;t1_m1_pc_all
47;1;YASA;t1_m1_pc_folder
47;2;YASA;t1_m1_pc_file
47;3;YASA;t1_m1_pc_vars
47;4;YASA;t2_m1_pc_all
47;5;YASA;t2_m1_pc_folder
47;6;YASA;t2_m1_pc_file
47;7;YASA;t2_m1_pc_vars
48;0;YASA;t1_m1_pc_all
48;1;YASA;t1_m1_pc_folder
48;2;YASA;t1_m1_pc_file
48;3;YASA;t1_m1_pc_vars
48;4;YASA;t2_m1_pc_all
48;5;YASA;t2_m1_pc_folder
48;6;YASA;t2_m1_pc_file
48;7;YASA;t2_m1_pc_vars
49;0;YASA;t1_m1_pc_all
49;1;YASA;t1_m1_pc_folder
49;2;YASA;t1_m1_pc_file
49;3;YASA;t1_m1_pc_vars
49;4;YASA;t2_m1_pc_all
