ModelID;AlgorithmID;SystemIteration;AlgorithmIteration;InTime;NoError;Time;Size
10;7;7;1;true;true;671;42
10;9;7;1;true;true;1282;33
10;10;7;1;true;true;1725;33
10;0;8;1;true;true;1379;32
10;1;8;1;true;true;1347;26
10;2;8;1;true;true;1374;19
10;3;8;1;true;true;1004;17
10;4;8;1;true;true;781;11
10;5;8;1;true;true;2777;33
10;6;8;1;true;true;4285;34
10;7;8;1;true;true;859;42
10;9;8;1;true;true;1112;32
10;10;8;1;true;true;1722;32
10;0;9;1;true;true;1433;33
10;1;9;1;true;true;1298;28
10;2;9;1;true;true;1381;20
10;3;9;1;true;true;1044;17
10;4;9;1;true;true;1069;11
10;5;9;1;true;true;2814;35
10;6;9;1;true;true;4381;34
10;7;9;1;true;true;764;41
10;9;9;1;true;true;1477;33
10;10;9;1;true;true;1838;33
10;0;10;1;true;true;1503;32
10;1;10;1;true;true;1408;26
10;2;10;1;true;true;1537;18
10;3;10;1;true;true;1175;17
10;4;10;1;true;true;1238;11
10;5;10;1;true;true;2576;35
10;6;10;1;true;true;4264;37
10;7;10;1;true;true;661;38
10;9;10;1;true;true;1492;32
10;10;10;1;true;true;1924;32
10;0;11;1;true;true;1638;31
10;1;11;1;true;true;1547;25
10;2;11;1;true;true;1379;21
10;3;11;1;true;true;1388;18
10;4;11;1;true;true;879;10
10;5;11;1;true;true;2788;34
10;6;11;1;true;true;4296;34
10;7;11;1;true;true;799;39
10;9;11;1;true;true;1253;31
10;10;11;1;true;true;2035;31
10;0;12;1;true;true;1349;32
10;1;12;1;true;true;1381;25
10;2;12;1;true;true;1141;21
10;3;12;1;true;true;933;18
10;4;12;1;true;true;793;12
10;5;12;1;true;true;2606;34
10;6;12;1;true;true;4632;35
10;7;12;1;true;true;719;39
10;9;12;1;true;true;1177;32
10;10;12;1;true;true;1795;32
10;0;13;1;true;true;1456;31
10;1;13;1;true;true;1337;29
10;2;13;1;true;true;1216;20
10;3;13;1;true;true;1440;18
10;4;13;1;true;true;829;11
10;5;13;1;true;true;2669;33
10;6;13;1;true;true;4705;35
10;7;13;1;true;true;696;42
10;9;13;1;true;true;1184;31
10;10;13;1;true;true;1855;31
10;0;14;1;true;true;1469;32
10;1;14;1;true;true;1367;28
10;2;14;1;true;true;949;19
10;3;14;1;true;true;990;19
10;4;14;1;true;true;988;11
10;5;14;1;true;true;2791;35
10;6;14;1;true;true;4640;33
10;7;14;1;true;true;715;38
10;9;14;1;true;true;1341;32
10;10;14;1;true;true;1902;32
10;0;15;1;true;true;1548;32
10;1;15;1;true;true;1354;27
10;2;15;1;true;true;1035;22
10;3;15;1;true;true;1039;17
10;4;15;1;true;true;878;11
10;5;15;1;true;true;2489;34
10;6;15;1;true;true;4201;33
10;7;15;1;true;true;787;41
10;9;15;1;true;true;1437;32
10;10;15;1;true;true;2081;32
10;0;16;1;true;true;1618;31
10;1;16;1;true;true;1482;29
10;2;16;1;true;true;1538;20
10;3;16;1;true;true;1496;18
10;4;16;1;true;true;900;11
10;5;16;1;true;true;2608;37
10;6;16;1;true;true;5394;35
10;7;16;1;true;true;737;42
10;9;16;1;true;true;1288;31
